Title
ALLS WELL THAT ENDS WELL
THE TRAGEDY OF ANTONY AND CLEOPATRA
AS YOU LIKE IT
THE COMEDY OF ERRORS
THE TRAGEDY OF CORIOLANUS
CYMBELINE
THE TRAGEDY OF HAMLET PRINCE OF DENMARK
THE FIRST PART OF KING HENRY THE FOURTH
SECOND PART OF KING HENRY IV
THE LIFE OF KING HENRY THE FIFTH
THE FIRST PART OF HENRY THE SIXTH
THE THIRD PART OF KING HENRY THE SIXTH
KING HENRY THE EIGHTH
KING JOHN
THE TRAGEDY OF JULIUS CAESAR
THE TRAGEDY OF KING LEAR
LOVES LABOURS LOST
THE TRAGEDY OF MACBETH
MEASURE FOR MEASURE
THE MERCHANT OF VENICE
THE MERRY WIVES OF WINDSOR
A MIDSUMMER NIGHTS DREAM
MUCH ADO ABOUT NOTHING
THE TRAGEDY OF OTHELLO MOOR OF VENICE
KING RICHARD THE SECOND
KING RICHARD III
THE TRAGEDY OF ROMEO AND JULIET
THE TAMING OF THE SHREW
THE TEMPEST
THE LIFE OF TIMON OF ATHENS
THE TRAGEDY OF TITUS ANDRONICUS
THE HISTORY OF TROILUS AND CRESSIDA
TWELFTH NIGHT OR WHAT YOU WILL
THE TWO GENTLEMEN OF VERONA
THE WINTERS TALE
A LOVERS COMPLAINT
